class_id,sbox_truth_table,f1,f2,f3,f4,deg_f1,deg_f2,deg_f3,deg_f4,num_linear_eqs_k,NL,delta,deg,fixed_points,involution
C1,"['0xa', '0x9', '0xb', '0x4', '0x5', '0xe', '0x3', '0xd', '0xc', '0xf', '0x6', '0x0', '0x7', '0x2', '0x1', '0x8']","1 ⊕ x1x2 ⊕ x3 ⊕ x1x3 ⊕ x1x2x3 ⊕ x2x4 ⊕ x1x2x4 ⊕ x1x3x4 ⊕ x2x3x4 ⊕ y1 = 0","x1x2 ⊕ x3 ⊕ x2x3 ⊕ x4 ⊕ x3x4 ⊕ x1x3x4 ⊕ y2 = 0","1 ⊕ x1 ⊕ x3 ⊕ x2x3 ⊕ x4 ⊕ x2x4 ⊕ x1x3x4 ⊕ x2x3x4 ⊕ y3 = 0","x1 ⊕ x2 ⊕ x3 ⊕ x2x3 ⊕ x1x2x3 ⊕ x2x4 ⊕ x1x2x4 ⊕ x2x3x4 ⊕ y4 = 0",3,3,3,3,0,4,4,3,0,0
C2,"['0x1', '0x3', '0x6', '0xc', '0xa', '0x9', '0x7', '0xb', '0xe', '0x0', '0xf', '0x8', '0x4', '0x5', '0x2', '0xd']","x1x2 ⊕ x3 ⊕ x2x3 ⊕ x4 ⊕ x1x4 ⊕ x1x3x4 ⊕ x2x3x4 ⊕ y1 = 0","x2 ⊕ x1x2x3 ⊕ x4 ⊕ x1x4 ⊕ x2x4 ⊕ x1x3x4 ⊕ x2x3x4 ⊕ y2 = 0","x1 ⊕ x2 ⊕ x3 ⊕ x2x3 ⊕ x1x2x3 ⊕ x4 ⊕ x2x4 ⊕ x1x3x4 ⊕ y3 = 0","1 ⊕ x2 ⊕ x3 ⊕ x1x3 ⊕ x1x2x3 ⊕ x4 ⊕ x1x2x4 ⊕ x3x4 ⊕ x2x3x4 ⊕ y4 = 0",3,3,3,3,0,4,4,3,0,0
C3,"['0xe', '0xa', '0xc', '0x4', '0x0', '0x7', '0x2', '0x9', '0x8', '0x5', '0x3', '0xd', '0xb', '0x6', '0xf', '0x1']","1 ⊕ x1x2 ⊕ x3 ⊕ x1x4 ⊕ x2x4 ⊕ x1x2x4 ⊕ x3x4 ⊕ x2x3x4 ⊕ y1 = 0","1 ⊕ x1 ⊕ x1x2 ⊕ x3 ⊕ x4 ⊕ x1x2x4 ⊕ x3x4 ⊕ x2x3x4 ⊕ y2 = 0","1 ⊕ x2 ⊕ x3 ⊕ x1x3 ⊕ x4 ⊕ x1x2x4 ⊕ x1x3x4 ⊕ x2x3x4 ⊕ y3 = 0","x1x3 ⊕ x1x4 ⊕ x2x4 ⊕ x1x2x4 ⊕ x3x4 ⊕ x1x3x4 ⊕ x2x3x4 ⊕ y4 = 0",3,3,3,3,0,4,4,3,1,0
C4,"['0xb', '0x6', '0xa', '0x4', '0x1', '0x2', '0xf', '0x8', '0x7', '0xd', '0xc', '0x9', '0x5', '0x3', '0xe', '0x0']","1 ⊕ x1 ⊕ x3 ⊕ x1x3 ⊕ x2x3 ⊕ x4 ⊕ x2x4 ⊕ x1x2x4 ⊕ x3x4 ⊕ x2x3x4 ⊕ y1 = 0","x1 ⊕ x1x3 ⊕ x2x3 ⊕ x1x2x3 ⊕ x4 ⊕ x1x4 ⊕ x1x2x4 ⊕ x2x3x4 ⊕ y2 = 0","1 ⊕ x1x2 ⊕ x3 ⊕ x1x3 ⊕ x2x3 ⊕ x1x2x3 ⊕ x1x4 ⊕ x2x4 ⊕ x1x3x4 ⊕ x2x3x4 ⊕ y3 = 0","1 ⊕ x1 ⊕ x2 ⊕ x1x2 ⊕ x2x3 ⊕ x1x2x3 ⊕ x1x4 ⊕ x2x3x4 ⊕ y4 = 0",3,3,3,3,0,4,4,3,1,0
C5,"['0x2', '0x8', '0x1', '0x0', '0xa', '0xf', '0x7', '0xe', '0xb', '0x9', '0xc', '0x6', '0x4', '0x5', '0xd', '0x3']","x1 ⊕ x1x2 ⊕ x3 ⊕ x1x3 ⊕ x2x3 ⊕ x4 ⊕ x1x4 ⊕ x1x3x4 ⊕ y1 = 0","x1x3 ⊕ x2x3 ⊕ x1x2x3 ⊕ x2x4 ⊕ x3x4 ⊕ x1x3x4 ⊕ y2 = 0","1 ⊕ x1 ⊕ x2 ⊕ x1x2 ⊕ x1x3 ⊕ x2x3 ⊕ x1x2x3 ⊕ x1x2x4 ⊕ x3x4 ⊕ y3 = 0","x2 ⊕ x1x2 ⊕ x1x3 ⊕ x1x2x3 ⊕ x4 ⊕ x1x2x4 ⊕ x3x4 ⊕ y4 = 0",3,3,3,3,0,4,4,3,1,0
C6,"['0x8', '0x4', '0xa', '0x3', '0xf', '0x2', '0x9', '0x7', '0x5', '0xb', '0x6', '0xc', '0xe', '0x1', '0xd', '0x0']","1 ⊕ x1 ⊕ x4 ⊕ x3x4 ⊕ y1 = 0","x1 ⊕ x1x2 ⊕ x3 ⊕ x2x3 ⊕ x1x2x3 ⊕ x4 ⊕ x3x4 ⊕ x2x3x4 ⊕ y2 = 0","x2 ⊕ x3 ⊕ x1x2x3 ⊕ x1x4 ⊕ y3 = 0","x1x2 ⊕ x3 ⊕ x1x3 ⊕ x4 ⊕ x2x4 ⊕ x1x2x4 ⊕ y4 = 0",2,3,3,3,0,4,4,3,2,0
C7,"['0x1', '0x2', '0x0', '0x5', '0x4', '0x8', '0xd', '0x3', '0x9', '0x6', '0x7', '0xb', '0xc', '0xe', '0xf', '0xa']","x1x3 ⊕ x2x3 ⊕ x4 ⊕ x1x4 ⊕ x2x4 ⊕ y1 = 0","x1x2 ⊕ x3 ⊕ x1x3 ⊕ x1x2x3 ⊕ x1x4 ⊕ x2x4 ⊕ x1x2x4 ⊕ x2x3x4 ⊕ y2 = 0","x1 ⊕ x1x2 ⊕ x1x3 ⊕ x2x4 ⊕ x1x3x4 ⊕ y3 = 0","1 ⊕ x1 ⊕ x2 ⊕ x3 ⊕ x1x3 ⊕ x2x4 ⊕ x1x2x4 ⊕ x2x3x4 ⊕ y4 = 0",2,3,3,3,0,4,4,3,3,0
C8,"['0xc', '0x6', '0xe', '0x1', '0x7', '0x8', '0xb', '0x0', '0x4', '0x5', '0xa', '0xd', '0x9', '0x3', '0x2', '0xf']","1 ⊕ x1 ⊕ x3 ⊕ x2x3 ⊕ x4 ⊕ x1x4 ⊕ x2x4 ⊕ x1x3x4 ⊕ x2x3x4 ⊕ y1 = 0","1 ⊕ x1x2 ⊕ x1x3 ⊕ x2x3 ⊕ x2x4 ⊕ x3x4 ⊕ x1x3x4 ⊕ y2 = 0","x1 ⊕ x2 ⊕ x3 ⊕ x2x3 ⊕ x1x4 ⊕ x1x2x4 ⊕ x3x4 ⊕ x1x3x4 ⊕ x2x3x4 ⊕ y3 = 0","x1x2 ⊕ x3 ⊕ x1x3 ⊕ x1x2x3 ⊕ x1x4 ⊕ x1x2x4 ⊕ x2x3x4 ⊕ y4 = 0",3,3,3,3,0,4,4,3,2,0
C9,"['0xd', '0x6', '0x1', '0xf', '0xb', '0xa', '0xe', '0x9', '0x2', '0x8', '0xc', '0x3', '0x5', '0x0', '0x7', '0x4']","1 ⊕ x1 ⊕ x2 ⊕ x1x3 ⊕ x2x3 ⊕ x4 ⊕ y1 = 0","1 ⊕ x2 ⊕ x1x2 ⊕ x3 ⊕ x4 ⊕ x1x3x4 ⊕ x2x3x4 ⊕ y2 = 0","x1 ⊕ x3 ⊕ x1x3 ⊕ x1x2x3 ⊕ x4 ⊕ x2x4 ⊕ y3 = 0","1 ⊕ x1 ⊕ x1x2 ⊕ x2x3 ⊕ x1x2x3 ⊕ x4 ⊕ x1x4 ⊕ x3x4 ⊕ x1x3x4 ⊕ x2x3x4 ⊕ y4 = 0",2,3,3,3,0,4,4,3,0,0
C10,"['0x0', '0xe', '0x5', '0x8', '0x6', '0xa', '0xf', '0x7', '0x4', '0xb', '0x9', '0x2', '0x1', '0xc', '0x3', '0xd']","x1 ⊕ x2x3 ⊕ x2x4 ⊕ y1 = 0","x1 ⊕ x2 ⊕ x3 ⊕ x2x3 ⊕ x1x2x3 ⊕ x4 ⊕ x1x2x4 ⊕ y2 = 0","x1 ⊕ x1x2 ⊕ x3 ⊕ x1x3 ⊕ x1x2x3 ⊕ x1x2x4 ⊕ x3x4 ⊕ x2x3x4 ⊕ y3 = 0","x2 ⊕ x1x2 ⊕ x1x2x3 ⊕ x1x4 ⊕ x1x2x4 ⊕ x3x4 ⊕ x2x3x4 ⊕ y4 = 0",2,3,3,3,0,4,4,3,2,0
